title,description,price,vendor_id,sku
"Gaming Laptop Pro","High-performance gaming laptop with RTX 4080",1299.99,1,GAME-LAPTOP-RTX
"Wireless Mouse","Ergonomic wireless mouse with RGB lighting",45.99,2,WIRE-MOUSE-RGB
"Smart Speaker","Voice-controlled smart speaker with Alexa",89.99,3,SMART-SPEAKER-ALEXA
"USB-C Cable Pack","Pack of 3 high-speed USB-C cables",19.99,4,USB-C-PACK-3
"Bluetooth Headphones","Noise-cancelling Bluetooth headphones",159.99,5,BT-HEADPHONES-NC
"Invalid Product 1","Product with non-existent vendor",99.99,999,INVALID-VENDOR-1
"Invalid Product 2","Product with negative price",-50.00,1,NEGATIVE-PRICE-1
"Invalid Product 3","Product with zero price",0.00,2,ZERO-PRICE-1
"Invalid Product 4","Product with missing vendor_id",199.99,,MISSING-VENDOR-1
"Invalid Product 5","Product with invalid price format","abc",3,INVALID-PRICE-FORMAT
"Invalid Product 6","Product with missing title","",299.99,4,MISSING-TITLE-1
"Invalid Product 7","Product with missing SKU","Premium wireless keyboard",129.99,5,
"Invalid Product 8","Product with duplicate SKU","Another gaming laptop",1499.99,1,GAME-LAPTOP-RTX
"Invalid Product 9","Product with vendor_id as string","Test product",79.99,"abc",STRING-VENDOR-ID
"Invalid Product 10","Product with price as string","Another test product","xyz",6,STRING-PRICE
"Valid Product 1","4K Webcam for streaming",129.99,6,VALID-WEBCAM-4K
"Valid Product 2","Mechanical Keyboard RGB",89.99,7,VALID-KB-MECH
"Valid Product 3","Wireless Charging Stand",34.99,8,VALID-CHARGER-STAND
"Valid Product 4","Smart Home Security Kit",299.99,9,VALID-SECURITY-KIT
"Valid Product 5","Portable SSD 1TB",89.99,10,VALID-SSD-1TB
"Valid Product 6","Gaming Monitor 27inch",349.99,1,VALID-MONITOR-27
"Valid Product 7","Wireless Gaming Headset",79.99,2,VALID-HEADSET-GAME
"Valid Product 8","Smart Watch Fitness",199.99,3,VALID-WATCH-FIT
"Valid Product 9","Bluetooth Earbuds Pro",129.99,4,VALID-EARBUDS-PRO
"Valid Product 10","USB Hub 7-Port",24.99,5,VALID-USB-HUB-7 